Source Node,Message,Delivered Node
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,1
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,10
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,10
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,4
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
1,Event Type: ApplicationLayerMessageTypes.DECIDE | Vote: 1 ,4
3,Event Type: ApplicationLayerMessageTypes.DECIDE | Vote: 0 ,4
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,4
2,Event Type: ApplicationLayerMessageTypes.DECIDE | Vote: 0 ,4
0,Event Type: ApplicationLayerMessageTypes.DECIDE | Vote: 0 ,4
10,Event Type: ApplicationLayerMessageTypes.DECIDE | Vote: 0 ,4
11,Event Type: ApplicationLayerMessageTypes.DECIDE | Vote: 1 ,4
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,11
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,6
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,8
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,3
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,0
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,9
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,9
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,11
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,7
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
2,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,0
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,7
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,5
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,5
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,1
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,8
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,3
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,6
10,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
1,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
7,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
11,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
9,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
0,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
5,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
3,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
4,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
6,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 1 ,2
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
8,Event Type: ApplicationLayerMessageTypes.ECHO | Vote: 0 ,2
